菌株,总鲜重,地上部,须根,根茎,日期,备注
ck-1,53.9,29.1,6.7,16.5,2025.02.24,大田
ck-2,64.3,33.8,8.5,22.2,2025.02.24,大田
ck-3,67.6,37,17,13.2,2025.02.24,大田
ck-4,52.8,26.7,6.3,18.7,2025.02.24,大田
cx-2-1,68.5,39.5,10.8,17.4,2025.02.24,大田
cx-2-2,113.4,67.3,13.9,30.2,2025.02.24,大田
cx-2-3,100.4,53.8,11.5,32.1,2025.02.24,大田
cx-2-4,92.1,50,16.5,24,2025.02.24,大田
2-ch-8-1,146.1,83.1,37.6,21.8,2025.02.24,大田
2-ch-8-2,75.1,38.2,24.1,8.5,2025.02.24,大田
2-ch-8-3,77.2,34.8,24.8,16.5,2025.02.24,大田
2-ch-8-4,140.9,63.6,23.1,42.3,2025.02.24,大田
4Hch8-1,122.9,64.6,13.1,40.1,2025.02.24,大田
4Hch8-2,65.3,40.2,4.5,18.7,2025.02.24,大田
4Hch8-3,53.4,25.9,7.9,15.8,2025.02.24,大田
4Hch8-4,141.1,93.6,13.4,31.3,2025.02.24,大田
Rc-1,137.1,72.3,16.1,46.2,2025.02.24,大田
Rc-2,189.1,102.2,17.5,63.7,2025.02.24,大田
Rc-3,145.3,90.6,17.7,35.1,2025.02.24,大田
Rc-4,112.5,68.8,6.6,34.7,2025.02.24,大田
Rc-5,132.8,82.6,16.6,30.5,2025.02.24,大田
Rc-6,166.5,100,14.6,55,2025.02.24,大田
cc-1,202,135.6,16.7,46.6,2025.02.24,大田
cc-2,155.8,93.4,13,47.1,2025.02.24,大田
cc-3,194.6,109.5,18.7,62.7,2025.02.24,大田
cc-4,148.8,72.5,13.2,59.1,2025.02.24,大田
cc-5,171.8,89.9,24.2,55.5,2025.02.24,大田
cc-6,137.3,76.6,15.3,45.7,2025.02.24,大田
cx-2-1,77.8,4.9,26.6,7.1,2025.02.25,大田
cx-2-2,69.6,41.2,18,9.8,2025.02.25,大田
cx-2-3,61.4,36.9,18.8,6,2025.02.25,大田
cx-2-4,46.1,27.9,14.9,3.3,2025.02.25,大田
2-ch-8-1,72.5,44.6,19.1,9.1,2025.02.25,大田
2-ch-8-2,68,43.6,19.3,5,2025.02.25,大田
2-ch-8-3,90.6,53.5,29.4,7.4,2025.02.25,大田
2-ch-8-4,66.8,40.1,20.3,6.2,2025.02.25,大田
